,gu,name,address,brand,gasoline,diesel,self,carwash,charging station,maintenance,shop,open_24,lat,lng
0,강남구,세곡주유소,서울 강남구  헌릉로 731,SK에너지,1678,1568,Y,Y,N,N,N,N,37.4671565,127.1187081
1,강남구,은마주유소,서울 강남구 영동대로 235,GS칼텍스,1679,1659,N,Y,N,Y,N,N,37.5000721,127.0672848
2,강남구,셀프,서울 강남구 남부순환로 2651,SK에너지,1684,1589,Y,Y,N,Y,N,Y,37.485839,127.0396721
3,강남구,강남셀프주유소,서울 강남구 도곡로 208,HD현대오일뱅크,1684,1604,Y,Y,N,N,N,N,37.492295,127.0418598
4,강남구,자곡셀프주유소,서울 강남구 밤고개로 120,SK에너지,1697,1589,Y,Y,N,N,N,N,37.4834002,127.1040458
5,강남구,방죽주유소,서울 강남구 밤고개로 215,GS칼텍스,1697,1589,Y,Y,N,N,N,N,37.4749926,127.1068866
6,강남구,도곡셀프주유소,서울 강남구  남부순환로 2718,HD현대오일뱅크,1698,1604,Y,Y,N,Y,N,N,37.4854623,127.0432181
7,강남구,유진주유소,서울 강남구 논현로 152,HD현대오일뱅크,1708,1614,N,Y,N,Y,N,N,37.4834182,127.042594
8,강남구,산성셀프주유소,서울 강남구 헌릉로 730,HD현대오일뱅크,1712,1593,Y,Y,N,N,N,N,37.4665675,127.1190803
9,강남구,수서지점,서울 강남구 광평로 202,SK에너지,1718,1597,Y,Y,N,N,N,N,37.4841053,127.0950401
10,강남구,(주)선진도곡주유소,서울 강남구 도곡로 162,S-OIL,1728,1604,N,Y,N,Y,N,N,37.4910831,127.0375983
11,강남구,SK서광주유소,서울 강남구 역삼로 142,SK에너지,1765,1665,Y,Y,N,Y,N,Y,37.4943424,127.0350915
12,강남구,개나리주유소,서울 강남구 언주로 423,S-OIL,1775,1605,Y,Y,N,Y,N,Y,37.5009309,127.0431222
13,강남구,삼성동주유소,서울 강남구 테헤란로 619,HD현대오일뱅크,1795,1695,Y,Y,N,N,N,N,37.5098576,127.0651101
14,강남구,힐탑셀프주유소,서울 강남구 논현로 640,SK에너지,1857,1697,Y,Y,N,N,N,Y,37.5106887,127.0325689
15,강남구,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516,GS칼텍스,1857,1832,Y,N,N,Y,N,Y,37.50270829999999,127.0363956
16,강남구,개포주유소,서울 강남구 양재대로 339,GS칼텍스,1868,1748,Y,Y,N,N,N,N,37.4722409,127.0515134
17,강남구,압구정주유소,서울 강남구 언주로 842,SK에너지,1877,1737,Y,Y,N,N,N,Y,37.5253431,127.0338242
18,강남구,신사현대주유소,서울 강남구 도산대로 163,HD현대오일뱅크,1963,1863,N,Y,N,N,N,N,37.5195205,127.0263171
19,강남구,한양주유소,서울 강남구 압구정로 302,HD현대오일뱅크,1995,1795,N,Y,N,N,N,N,37.5288681,127.0341046
20,강남구,삼성로주유소,서울 강남구 삼성로 563,GS칼텍스,2049,1985,Y,Y,N,N,N,Y,37.51186149999999,127.0535258
21,강남구,명품주유소,서울 강남구 도곡로 249,S-OIL,2248,2107,Y,Y,N,N,N,Y,37.4942704,127.0455093
22,강남구,대청주유소,서울 강남구 개포로 654,SK에너지,2256,2096,N,Y,N,N,N,N,37.4949503,127.0842686
23,강남구,새서울주유소,서울 강남구 압구정로 154,HD현대오일뱅크,2258,2048,N,Y,N,N,N,Y,37.525835,127.0265422
24,강남구,쎈트럴주유소,서울 강남구 삼성로 335,GS칼텍스,2389,2189,N,Y,N,N,N,N,37.5014209,127.0591408
25,강남구,SK논현주유소,서울 강남구 논현로 747,SK에너지,2435,2270,N,Y,N,Y,N,Y,37.5186368,127.028238
26,강남구,제이제이주유소,서울 강남구 언주로 716,HD현대오일뱅크,2548,2290,N,Y,N,N,N,Y,37.5176472,127.0357349
27,강남구,삼보주유소,서울 강남구 봉은사로 433,GS칼텍스,2620,2580,N,Y,N,N,N,N,37.5115207,127.0471716
28,강동구,고속셀프지점,서울특별시 강동구  천호대로 1246,HD현대오일뱅크,1645,1529,Y,Y,N,N,N,N,37.5365133,127.1493588
29,강동구,대성석유(주)길동주유소,서울 강동구 천호대로 1168,GS칼텍스,1696,1578,N,Y,N,N,N,N,37.5334229,127.1411725
30,강동구,동서울주유소,서울 강동구 천호대로 1456,GS칼텍스,1709,1609,Y,Y,N,N,N,N,37.5451987,127.1702324
31,강동구,고덕주유소,서울 강동구 고덕로 39,GS칼텍스,1726,1598,Y,Y,N,N,Y,N,37.555049,127.1297929
32,강동구,신월주유소,서울 강동구 양재대로 1323,GS칼텍스,1736,1598,Y,Y,N,N,N,N,37.5245597,127.134491
33,강동구,sk해뜨는주유소,서울 강동구  상일로 132,SK에너지,1789,1639,Y,Y,N,Y,N,N,37.5545085,127.1724154
34,강동구,코알라주유소,서울특별시 강동구  올림픽로 556,S-OIL,1790,1670,Y,Y,N,N,N,N,37.5312217,127.1211445
35,강동구,오렌지주유소,서울 강동구 성안로 102,SK에너지,1793,1673,N,Y,N,Y,N,N,37.532314,127.1331781
36,강동구,성내주유소,서울 강동구 올림픽로 578,GS칼텍스,1798,1678,Y,Y,N,Y,N,N,37.5332758,127.1219252
37,강동구,천호현대주유소,서울 강동구 천중로 67,HD현대오일뱅크,1893,1752,N,Y,N,Y,N,N,37.5451331,127.129473
38,강동구,광성주유소,서울 강동구 올림픽로 673,S-OIL,1968,1858,N,Y,N,Y,N,Y,37.5416117,127.1241731
39,강북구,수유동주유소,서울 강북구 도봉로 395,GS칼텍스,1589,1459,Y,N,N,N,N,Y,37.6421556,127.0295862
40,강북구,덕릉로주유소,서울 강북구 덕릉로 158,S-OIL,1589,1459,Y,Y,N,N,N,N,37.6349756,127.0313182
41,강북구,번동주유소,서울 강북구 한천로 963,HD현대오일뱅크,1589,1459,Y,Y,N,N,N,N,37.6355872,127.0330493
42,강북구,미아셀프주유소,서울 강북구 도봉로 200,S-OIL,1635,1495,Y,Y,N,N,N,N,37.6265292,127.0265002
43,강북구,미아주유소,서울 강북구 도봉로 122,GS칼텍스,1639,1494,Y,Y,N,N,N,N,37.6199964,127.0290304
44,강북구,대성석유(주)신광주유소,서울 강북구 삼양로 484,GS칼텍스,1669,1529,N,Y,N,Y,N,N,37.6464088,127.0153285
45,강북구,매일주유소,서울 강북구 삼양로 217,SK에너지,1670,1534,Y,Y,N,N,Y,N,37.6227977,127.0191356
46,강서구,강서오곡셀프주유소,서울 강서구 벌말로 254,SK에너지,1567,1467,Y,Y,N,N,N,Y,37.5539622,126.7684275
47,강서구,강서주유소,서울 강서구 화곡로 273,HD현대오일뱅크,1586,1464,Y,Y,N,Y,N,N,37.549163,126.8469964
48,강서구,KH외발산주유소,서울 강서구 방화대로 30,SK에너지,1587,1459,Y,Y,Y,Y,Y,N,37.5434208,126.816863
49,강서구,화곡역주유소,서울 강서구 강서로 154,알뜰주유소,1597,1443,Y,N,N,N,N,Y,37.5407186,126.8415303
50,강서구,뉴신정주유소,서울 강서구 곰달래로 207,알뜰주유소,1598,1498,N,N,N,Y,Y,N,37.5315796,126.8560524
